Link,Speakers,City,Category,Trim,Gender
https://www.youtube.com/watch?v=frBTWyXiPF0,1,Balti,Studio,3:00-8:00,F
https://www.youtube.com/watch?v=_3OLJk5a0dU,1,Balti,Studio,1:40-6:50,M
https://www.youtube.com/watch?v=snmhjJR_SkI,1,Chisinau,Studio,0:00-10:00,F
https://www.youtube.com/watch?v=oF-YSsRJG6k,1,Chisinau,Studio,1:00-20:00,M
https://www.youtube.com/watch?v=3f4DnN1Pxjw,1,Chisinau,Studio,1:00-7:00,M
https://www.youtube.com/watch?v=FAPEdnmr63w,1,Chisinau,Studio,1:00-7:00,F
https://www.youtube.com/watch?v=o5i9cc7oe38,1,Chisinau,Studio,1:30-7:00,F
https://www.youtube.com/watch?v=R4ch3Cu8FJA,1,Chisinau,Studio,12:00-17:00,M
https://www.youtube.com/watch?v=sQ3QrGvK03E,1,Chisinau,Studio,9:30-15:00,F
https://www.youtube.com/watch?v=KT1NWjLSDLU,1,Chisinau,Studio,2:40-8:50,M
https://www.youtube.com/watch?v=I6j09Iys4Xo,1,Chisinau,Studio,2:35-6:40,F
https://www.youtube.com/watch?v=F_Cnppr3hFc,1,Chisinau,Studio,5:42-10:00,M
https://www.youtube.com/watch?v=2WUMgEA8zCM,1,Chisinau,Studio,2:30-6:55,M
https://www.youtube.com/watch?v=fWy0004OAjQ,1,Chisinau,Studio,2:30-7:40,M
https://www.youtube.com/watch?v=6kATVUeZToI,1,Chisinau,Studio,2:50-7:00,M
https://www.youtube.com/watch?v=yB7lYXxq92k,1,Chisinau,Studio,29:25-36:00,F
https://www.youtube.com/watch?v=JLcS5GkJ6E4,1,Chisinau,Studio,0:00-8:00,F
https://www.youtube.com/watch?v=L4L-2REcGQM,1,Chisinau,Studio,0:00-9:00,M
https://www.youtube.com/watch?v=dH3Vz_hv85I,1,Chisinau,Studio,1:10:30-1:21:47,M
https://www.youtube.com/watch?v=N0QCeiXX-lE,1,Chisinau,Studio,10:40-15:00,F
https://www.youtube.com/watch?v=R3tBFVeAh6M,1,Chisinau,Studio,4:13-14:13,F
https://www.youtube.com/watch?v=0UdgzOtN0rE,1,Chisinau,Studio,14:08-20:00,F
https://www.youtube.com/watch?v=lcYC8GwV5fw,1,Chisinau,Studio,5:00-12:00,F
https://www.youtube.com/watch?v=FSkO1AwlSgM,1,Chisinau,Studio,16:00-25:00,M
https://www.youtube.com/watch?v=AVe2BKqq8uE,1,Chisinau,Studio,8:35-15:50,F
https://www.youtube.com/watch?v=skGutkhWlqw,1,Chisinau,Studio,28:10-34:40,F
https://www.youtube.com/watch?v=dUexyIZhBRA,1,Chisinau,Studio,3:16-10:00,F
https://www.youtube.com/watch?v=OVo7OqmsjbA,1,Chisinau,Studio,,M
https://www.youtube.com/watch?v=InZS5NXUtfM,1,Balti,ITW,0:00-6:00,F
https://www.youtube.com/watch?v=fI2WU5KIuQY,1,Balti,ITW,4:15-6:03,F
https://www.youtube.com/watch?v=Gv07KK9-QBY,1,Cernauti,ITW,,M
https://www.youtube.com/watch?v=T2Hc8tlOQLA,1,Chisinau,ITW,,M
https://www.youtube.com/watch?v=WkcLVGR32NE,1,Chisinau,ITW,,F
https://www.youtube.com/watch?v=BhQlr38_yJk,1,Edinet,ITW,,M
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Total,34,,,,
