Link,Speakers,City,Category,Trim
https://www.youtube.com/watch?v=Q9fEefKXgy0,,Bacau,Studio,2:19-7:31
https://www.youtube.com/watch?v=vF3NMm3j97g,1,Bacau,Studio,6:15-18:13
https://www.youtube.com/watch?v=_zl5P0Y75_8,1,Bacau,Studio,2:21-19:47
https://www.youtube.com/watch?v=ZOuB2beDD1k,1,Bacau,Studio,1:40-7:50
https://www.youtube.com/watch?v=oLXEgqT5Vw4,1,Bacau,Studio,1:07-12:20
https://www.youtube.com/watch?v=kFUEAWrpOBo,1,Botosani,Studio,0:00-8:13
https://www.youtube.com/watch?v=DetAmN9HODQ,1,Botosani,Studio,0:00-6:40
https://www.youtube.com/watch?v=pMiS-1hAqKM,1,Botosani,Studio,
https://www.youtube.com/watch?v=AmW0WwZI-QA,1,Focsani,Studio,0:00-14:00
https://www.youtube.com/watch?v=JPjXgv8mzIY,1,Focsani,Studio,
https://www.youtube.com/watch?v=Kb8-Q9b74rg,1,Focsani,Studio,0:48-2:10
https://www.youtube.com/watch?v=zvEP7pnFXKE,1,Galati,Studio,0:48-5:15
https://www.youtube.com/watch?v=RXE0_SQgTIQ,1,Galati,Studio,0:00-3:51
https://www.youtube.com/watch?v=umbP_QsVS3k,1,Iasi,Studio,
https://www.youtube.com/watch?v=LtqoHPtm6tM,1,Iasi,Studio,0:00-7:05
https://www.youtube.com/watch?v=UQpeA0H_S40,1,Iasi,Studio,0:00-7:30
https://www.youtube.com/watch?v=1JhM1K87kaY,1,Iasi,Studio,0:00-5:52
https://www.youtube.com/watch?v=2UYudJFXYTk,1,Iasi,Studio,3:20-8:40
https://www.youtube.com/watch?v=C9ViMKt1C9M,1,Iasi,Studio,0:22-13:00
https://www.youtube.com/watch?v=aa4-ymH-xtI,1,Iasi,Studio,1:15-10:00
https://www.youtube.com/watch?v=0mZOc3ni-WA,1,Iasi,Studio,2:28-13:00
https://www.youtube.com/watch?v=iutbxy_EIDo,1,Iasi,Studio,0:00-14:00
https://www.youtube.com/watch?v=dyy00N9FlEg,1,Iasi,Studio,0:00-13:55
https://www.youtube.com/watch?v=A1lHINwxSLg,1,Iasi,Studio,3:10-9:08
https://www.youtube.com/watch?v=mPE2pBpTEM0,1,Iasi,Studio,13:05-17:46
https://www.youtube.com/watch?v=xhQNsoTBIpI,1,Iasi,Studio,12:28-18:30
https://www.youtube.com/watch?v=PmGQMGIKEUE,1,Iasi,Studio,3:50-7:48
https://www.youtube.com/watch?v=mWTHoyTNoOA,1,Suceava,Studio,4:32-7:45
https://www.youtube.com/watch?v=nWbSfHvQfEk,1,Suceava,Studio,
https://www.youtube.com/watch?v=DWg9DPjmLa8,1,Suceava,Studio,1:37-4:19
https://www.youtube.com/watch?v=ZtQ87ao3chU,1,Suceava,Studio,6:17-20:53
https://www.youtube.com/watch?v=Qy3sr8_E1Pc,1,Suceava,Studio,2:50-12:00
https://www.youtube.com/watch?v=Wk5_FDlKA9w,1,Suceava,Studio,2:00-18:00
https://www.youtube.com/watch?v=16aWAxZ7dBg,1,Suceava,Studio,2:00-20:00
https://www.youtube.com/watch?v=Wonhi3yRu5c,1,Suceava,Studio,2:51-9:19
https://www.youtube.com/watch?v=d-pYjTylAUo,1,Suceava,Studio,0:00-9:47
https://www.youtube.com/watch?v=T7mJzH2nsPQ,1,Suceava,Studio,
https://www.youtube.com/watch?v=kxCdGYaF1RY,1,Suceava,Studio,
https://www.youtube.com/watch?v=sVO13R1D3zA,1,Suceava,Studio,2:07-7:55
https://www.youtube.com/watch?v=MjtY_ZLhCcg,1,Suceava,Studio,0:00-5:00
https://www.youtube.com/watch?v=5bM-D2mXxMA,1,Botosani,ITW,1:17-8:00
https://www.youtube.com/watch?v=wEyyQSU7nvQ,1,Botosani,ITW,0:00-9:03
https://www.youtube.com/watch?v=LinGXP5u_xg,1,Botosani,ITW,
https://www.youtube.com/watch?v=RTlsKim_4b0,1,Focsani,ITW,3:18-9:13
https://www.youtube.com/watch?v=bN7FXOyregQ,1,Focsani,ITW,
https://www.youtube.com/watch?v=c-SOl7TYoNs,1,Focsani,ITW,
